customer_id,signup_date,region,acquisition_channel,age_group,preferred_payment_type,customer_segment,device_type,email_opt_in,churned_flag,first_purchase_value,true_clv,is_returning_flag,recency_days,frequency,monetary_total,monetary_avg,monetary_std,avg_discount,avg_delivery_days,avg_review_score,review_missing_rate,category_diversity,top_category,tenure_days
CUST00001,2021-04-08,East,referral,26-35,UPI,Bronze,tablet,True,True,1111.34,17686.28,True,342.0,6.0,2037.38,339.56333333333333,162.02485459541901,0.10099999999999999,7.166666666666667,4.2,0.16666666666666666,6.0,accessories,1359
CUST00002,2023-04-28,Central,organic,36-45,UPI,Gold,mobile,False,True,802.02,28307.06,True,336.0,5.0,2424.66,484.93199999999996,291.0076850703431,0.10378000000000001,5.0,3.75,0.2,4.0,beauty,609
CUST00003,2022-12-18,South,organic,26-35,UPI,Silver,mobile,False,True,1694.8,20115.56,True,230.0,4.0,2687.48,671.87,764.6459505330992,0.116025,4.5,3.3333333333333335,0.25,3.0,books,740
CUST00004,2022-04-26,East,social,36-45,card,Gold,mobile,True,False,515.09,23012.39,True,396.0,5.0,2090.15,418.03000000000003,244.14050698317146,0.061020000000000005,7.2,4.0,0.0,4.0,home_decor,976
CUST00005,2022-04-20,East,paid_ads,36-45,card,Silver,desktop,True,True,797.08,19528.16,True,258.0,6.0,1547.31,257.885,132.30782361599032,0.13105,7.5,3.5,0.3333333333333333,5.0,toys,982
CUST00006,2023-07-30,Central,social,60+,COD,Gold,desktop,True,True,520.84,19018.34,True,280.0,6.0,2993.4,498.90000000000003,281.4613976374025,0.10738333333333334,6.0,4.333333333333333,0.0,5.0,fashion,516
CUST00007,2021-04-05,Northeast,paid_ads,26-35,wallet,Bronze,desktop,True,True,2426.52,19165.02,True,99.0,5.0,2552.7699999999995,510.5539999999999,538.5936898813427,0.10518000000000001,3.8,4.2,0.0,4.0,electronics,1362
CUST00008,2023-02-03,Central,social,26-35,UPI,Bronze,tablet,True,True,445.14,21018.52,True,310.0,3.0,1077.49,359.16333333333336,268.15915317835663,0.12739999999999999,6.0,5.0,0.0,3.0,beauty,693
CUST00009,2021-08-09,West,social,18-25,wallet,Silver,tablet,False,False,1237.41,20272.54,True,649.0,5.0,3651.09,730.2180000000001,900.2800428588873,0.11282,6.4,2.3333333333333335,0.4,5.0,accessories,1236
CUST00010,2021-04-14,West,social,26-35,card,Bronze,desktop,True,False,1210.85,20063.11,True,107.0,8.0,2065.5099999999998,258.18874999999997,132.26920864417818,0.1158125,6.125,4.0,0.125,4.0,groceries,1353
CUST00011,2022-07-31,West,paid_ads,46-60,card,Gold,desktop,True,True,851.0,23833.34,True,317.0,5.0,1971.33,394.26599999999996,194.26447598570357,0.09416,7.2,4.5,0.6,5.0,accessories,880
