,0
customer_segment,1162.008534347512
monetary_total,1161.3928241382507
tenure_days,687.7334152977364
frequency,480.0388580983822
category_diversity,298.92353295655516
acquisition_channel,160.5814788921522
monetary_std,150.0992909020899
top_category,84.74879209130094
is_returning_flag,66.64378780533086
region,49.58689015466285
avg_delivery_days,49.011110392475615
recency_days,43.412673242685386
first_purchase_value,41.051255178579844
monetary_avg,40.83781040722291
avg_discount,25.42702703763151
preferred_payment_type,21.2243881452356
avg_review_score,17.02182685648267
age_group,16.252711609316496
review_missing_rate,14.469059948859881
device_type,12.482457794272806
email_opt_in,10.709899648166692
churned_flag,8.83380688806237
